topic_id,lesson_title,hero_name,power,theme_color_hex,suggested_filename,image_prompt
reporting-safety,Tattling vs. Telling,Report Ranger,Clear Signal,#6a4fd1,hero-reporting-safety.png,"Flat, clean vector-illustration style children's superhero mascot character (think modern kids'-educational-app mascot, NOT photorealistic, NOT a comic-book/manga style, NOT scary or intense). Simple bold shapes, thick clean outlines (2-3px even weight), soft rounded corners, minimal fine detail so it stays clear as a small icon. Big simple friendly eyes, warm gentle smile, no aggressive or intense facial expressions. A simple cape and a form-fitting superhero costume/bodysuit (no exposed muscles, no weapons, nothing frightening). Character is a friendly, ambiguous-age kid-appropriate superhero (not obviously adult or child, not gendered-specific unless noted). Plain solid-color or transparent background, no scenery, no text, no logos, no watermarks. Square 1:1 composition, character centered and fully visible with a little padding around the edges. Bright, clean, cheerful lighting -- no harsh shadows. This character is ""Report Ranger"", the superhero for the ""Tattling vs. Telling"" safety lesson (power: ""Clear Signal"" -- Tells a trusted adult right away.). Primary costume color: calm violet-purple (#6a4fd1), used for the cape/bodysuit main color, with a white or cream secondary accent color for gloves/boots/trim. Chest emblem: a rounded speech-bubble, in white or a light contrasting color, centered on the chest. Pose: standing confidently with one hand raised near their mouth as if speaking up clearly."
awareness-safety,Paying Attention to My Surroundings,Radar,Surroundings Sight,#1f9d6b,hero-awareness-safety.png,"Flat, clean vector-illustration style children's superhero mascot character (think modern kids'-educational-app mascot, NOT photorealistic, NOT a comic-book/manga style, NOT scary or intense). Simple bold shapes, thick clean outlines (2-3px even weight), soft rounded corners, minimal fine detail so it stays clear as a small icon. Big simple friendly eyes, warm gentle smile, no aggressive or intense facial expressions. A simple cape and a form-fitting superhero costume/bodysuit (no exposed muscles, no weapons, nothing frightening). Character is a friendly, ambiguous-age kid-appropriate superhero (not obviously adult or child, not gendered-specific unless noted). Plain solid-color or transparent background, no scenery, no text, no logos, no watermarks. Square 1:1 composition, character centered and fully visible with a little padding around the edges. Bright, clean, cheerful lighting -- no harsh shadows. This character is ""Radar"", the superhero for the ""Paying Attention to My Surroundings"" safety lesson (power: ""Surroundings Sight"" -- Always aware of what’s happening nearby.). Primary costume color: friendly grass green (#1f9d6b), used for the cape/bodysuit main color, with a white or cream secondary accent color for gloves/boots/trim. Chest emblem: a radar-screen circle with concentric rings and a center dot, in white or a light contrasting color, centered on the chest. Pose: standing tall, looking off to one side attentively as if watching for something."
plan-safety,Making a Safety P.L.A.N.,Plan Master,Ready Plan,#c0392b,hero-plan-safety.png,"Flat, clean vector-illustration style children's superhero mascot character (think modern kids'-educational-app mascot, NOT photorealistic, NOT a comic-book/manga style, NOT scary or intense). Simple bold shapes, thick clean outlines (2-3px even weight), soft rounded corners, minimal fine detail so it stays clear as a small icon. Big simple friendly eyes, warm gentle smile, no aggressive or intense facial expressions. A simple cape and a form-fitting superhero costume/bodysuit (no exposed muscles, no weapons, nothing frightening). Character is a friendly, ambiguous-age kid-appropriate superhero (not obviously adult or child, not gendered-specific unless noted). Plain solid-color or transparent background, no scenery, no text, no logos, no watermarks. Square 1:1 composition, character centered and fully visible with a little padding around the edges. Bright, clean, cheerful lighting -- no harsh shadows. This character is ""Plan Master"", the superhero for the ""Making a Safety P.L.A.N."" safety lesson (power: ""Ready Plan"" -- Always has a safety plan ready to go.). Primary costume color: warm alert red (#c0392b), used for the cape/bodysuit main color, with a white or cream secondary accent color for gloves/boots/trim. Chest emblem: a clipboard with a checkmark, in white or a light contrasting color, centered on the chest. Pose: standing cheerfully, holding a small object shaped like their chest emblem."
privacy-safety,Privacy,Privacy Guardian,Info Shield,#6a4fd1,hero-privacy-safety.png,"Flat, clean vector-illustration style children's superhero mascot character (think modern kids'-educational-app mascot, NOT photorealistic, NOT a comic-book/manga style, NOT scary or intense). Simple bold shapes, thick clean outlines (2-3px even weight), soft rounded corners, minimal fine detail so it stays clear as a small icon. Big simple friendly eyes, warm gentle smile, no aggressive or intense facial expressions. A simple cape and a form-fitting superhero costume/bodysuit (no exposed muscles, no weapons, nothing frightening). Character is a friendly, ambiguous-age kid-appropriate superhero (not obviously adult or child, not gendered-specific unless noted). Plain solid-color or transparent background, no scenery, no text, no logos, no watermarks. Square 1:1 composition, character centered and fully visible with a little padding around the edges. Bright, clean, cheerful lighting -- no harsh shadows. This character is ""Privacy Guardian"", the superhero for the ""Privacy"" safety lesson (power: ""Info Shield"" -- Keeps personal information safe.). Primary costume color: calm violet-purple (#6a4fd1), used for the cape/bodysuit main color, with a white or cream secondary accent color for gloves/boots/trim. Chest emblem: a rolled-up scroll, in white or a light contrasting color, centered on the chest. Pose: standing cheerfully, holding a small object shaped like their chest emblem."
bullying-safety,Dealing with Bullying,Kindness Knight,Stand Tall,#c9770a,hero-bullying-safety.png,"Flat, clean vector-illustration style children's superhero mascot character (think modern kids'-educational-app mascot, NOT photorealistic, NOT a comic-book/manga style, NOT scary or intense). Simple bold shapes, thick clean outlines (2-3px even weight), soft rounded corners, minimal fine detail so it stays clear as a small icon. Big simple friendly eyes, warm gentle smile, no aggressive or intense facial expressions. A simple cape and a form-fitting superhero costume/bodysuit (no exposed muscles, no weapons, nothing frightening). Character is a friendly, ambiguous-age kid-appropriate superhero (not obviously adult or child, not gendered-specific unless noted). Plain solid-color or transparent background, no scenery, no text, no logos, no watermarks. Square 1:1 composition, character centered and fully visible with a little padding around the edges. Bright, clean, cheerful lighting -- no harsh shadows. This character is ""Kindness Knight"", the superhero for the ""Dealing with Bullying"" safety lesson (power: ""Stand Tall"" -- Stands tall and asks for help when bullied.). Primary costume color: warm golden amber (#c9770a), used for the cape/bodysuit main color, with a white or cream secondary accent color for gloves/boots/trim. Chest emblem: a simple rounded heart, in white or a light contrasting color, centered on the chest. Pose: standing in a relaxed, gentle pose with a warm, reassuring smile."
online-safety,Staying Safe Online,Cyber Scout,Safe Click,#2f6fed,hero-online-safety.png,"Flat, clean vector-illustration style children's superhero mascot character (think modern kids'-educational-app mascot, NOT photorealistic, NOT a comic-book/manga style, NOT scary or intense). Simple bold shapes, thick clean outlines (2-3px even weight), soft rounded corners, minimal fine detail so it stays clear as a small icon. Big simple friendly eyes, warm gentle smile, no aggressive or intense facial expressions. A simple cape and a form-fitting superhero costume/bodysuit (no exposed muscles, no weapons, nothing frightening). Character is a friendly, ambiguous-age kid-appropriate superhero (not obviously adult or child, not gendered-specific unless noted). Plain solid-color or transparent background, no scenery, no text, no logos, no watermarks. Square 1:1 composition, character centered and fully visible with a little padding around the edges. Bright, clean, cheerful lighting -- no harsh shadows. This character is ""Cyber Scout"", the superhero for the ""Staying Safe Online"" safety lesson (power: ""Safe Click"" -- Thinks before clicking or sharing online.). Primary costume color: cool trustworthy blue (#2f6fed), used for the cape/bodysuit main color, with a white or cream secondary accent color for gloves/boots/trim. Chest emblem: a rounded rectangle screen/monitor shape, in white or a light contrasting color, centered on the chest. Pose: standing cheerfully, holding a small object shaped like their chest emblem."
cyberbullying-safety,Cyberbullying,Net Defender,Block & Tell,#2f6fed,hero-cyberbullying-safety.png,"Flat, clean vector-illustration style children's superhero mascot character (think modern kids'-educational-app mascot, NOT photorealistic, NOT a comic-book/manga style, NOT scary or intense). Simple bold shapes, thick clean outlines (2-3px even weight), soft rounded corners, minimal fine detail so it stays clear as a small icon. Big simple friendly eyes, warm gentle smile, no aggressive or intense facial expressions. A simple cape and a form-fitting superhero costume/bodysuit (no exposed muscles, no weapons, nothing frightening). Character is a friendly, ambiguous-age kid-appropriate superhero (not obviously adult or child, not gendered-specific unless noted). Plain solid-color or transparent background, no scenery, no text, no logos, no watermarks. Square 1:1 composition, character centered and fully visible with a little padding around the edges. Bright, clean, cheerful lighting -- no harsh shadows. This character is ""Net Defender"", the superhero for the ""Cyberbullying"" safety lesson (power: ""Block & Tell"" -- Blocks unkind messages and tells a grown-up.). Primary costume color: cool trustworthy blue (#2f6fed), used for the cape/bodysuit main color, with a white or cream secondary accent color for gloves/boots/trim. Chest emblem: a rounded speech-bubble, in white or a light contrasting color, centered on the chest. Pose: standing confidently with one hand raised near their mouth as if speaking up clearly."
citizenship-safety,Being a Good Bystander,Upstander,Helper’s Heart,#2f6fed,hero-citizenship-safety.png,"Flat, clean vector-illustration style children's superhero mascot character (think modern kids'-educational-app mascot, NOT photorealistic, NOT a comic-book/manga style, NOT scary or intense). Simple bold shapes, thick clean outlines (2-3px even weight), soft rounded corners, minimal fine detail so it stays clear as a small icon. Big simple friendly eyes, warm gentle smile, no aggressive or intense facial expressions. A simple cape and a form-fitting superhero costume/bodysuit (no exposed muscles, no weapons, nothing frightening). Character is a friendly, ambiguous-age kid-appropriate superhero (not obviously adult or child, not gendered-specific unless noted). Plain solid-color or transparent background, no scenery, no text, no logos, no watermarks. Square 1:1 composition, character centered and fully visible with a little padding around the edges. Bright, clean, cheerful lighting -- no harsh shadows. This character is ""Upstander"", the superhero for the ""Being a Good Bystander"" safety lesson (power: ""Helper’s Heart"" -- Steps in and helps when someone needs it.). Primary costume color: cool trustworthy blue (#2f6fed), used for the cape/bodysuit main color, with a white or cream secondary accent color for gloves/boots/trim. Chest emblem: a simple rounded heart, in white or a light contrasting color, centered on the chest. Pose: standing in a relaxed, gentle pose with a warm, reassuring smile."
rights-safety,Knowing My Rights,Rights Ranger,Know-My-Rights,#c9770a,hero-rights-safety.png,"Flat, clean vector-illustration style children's superhero mascot character (think modern kids'-educational-app mascot, NOT photorealistic, NOT a comic-book/manga style, NOT scary or intense). Simple bold shapes, thick clean outlines (2-3px even weight), soft rounded corners, minimal fine detail so it stays clear as a small icon. Big simple friendly eyes, warm gentle smile, no aggressive or intense facial expressions. A simple cape and a form-fitting superhero costume/bodysuit (no exposed muscles, no weapons, nothing frightening). Character is a friendly, ambiguous-age kid-appropriate superhero (not obviously adult or child, not gendered-specific unless noted). Plain solid-color or transparent background, no scenery, no text, no logos, no watermarks. Square 1:1 composition, character centered and fully visible with a little padding around the edges. Bright, clean, cheerful lighting -- no harsh shadows. This character is ""Rights Ranger"", the superhero for the ""Knowing My Rights"" safety lesson (power: ""Know-My-Rights"" -- Knows the rights every kid deserves.). Primary costume color: warm golden amber (#c9770a), used for the cape/bodysuit main color, with a white or cream secondary accent color for gloves/boots/trim. Chest emblem: a rolled-up scroll, in white or a light contrasting color, centered on the chest. Pose: standing cheerfully, holding a small object shaped like their chest emblem."
water-safety,Water Safety,Aqua Sentinel,Tide Control,#c0392b,hero-water-safety.png,"Flat, clean vector-illustration style children's superhero mascot character (think modern kids'-educational-app mascot, NOT photorealistic, NOT a comic-book/manga style, NOT scary or intense). Simple bold shapes, thick clean outlines (2-3px even weight), soft rounded corners, minimal fine detail so it stays clear as a small icon. Big simple friendly eyes, warm gentle smile, no aggressive or intense facial expressions. A simple cape and a form-fitting superhero costume/bodysuit (no exposed muscles, no weapons, nothing frightening). Character is a friendly, ambiguous-age kid-appropriate superhero (not obviously adult or child, not gendered-specific unless noted). Plain solid-color or transparent background, no scenery, no text, no logos, no watermarks. Square 1:1 composition, character centered and fully visible with a little padding around the edges. Bright, clean, cheerful lighting -- no harsh shadows. This character is ""Aqua Sentinel"", the superhero for the ""Water Safety"" safety lesson (power: ""Tide Control"" -- Always swims with a buddy and a grown-up.). Primary costume color: warm alert red (#c0392b), used for the cape/bodysuit main color, with a white or cream secondary accent color for gloves/boots/trim. Chest emblem: a single water droplet, in white or a light contrasting color, centered on the chest. Pose: standing in a friendly, confident superhero pose, hands on hips."
home-safety,Staying Safe at Home,Home Hero,Check-First Sense,#c0392b,hero-home-safety.png,"Flat, clean vector-illustration style children's superhero mascot character (think modern kids'-educational-app mascot, NOT photorealistic, NOT a comic-book/manga style, NOT scary or intense). Simple bold shapes, thick clean outlines (2-3px even weight), soft rounded corners, minimal fine detail so it stays clear as a small icon. Big simple friendly eyes, warm gentle smile, no aggressive or intense facial expressions. A simple cape and a form-fitting superhero costume/bodysuit (no exposed muscles, no weapons, nothing frightening). Character is a friendly, ambiguous-age kid-appropriate superhero (not obviously adult or child, not gendered-specific unless noted). Plain solid-color or transparent background, no scenery, no text, no logos, no watermarks. Square 1:1 composition, character centered and fully visible with a little padding around the edges. Bright, clean, cheerful lighting -- no harsh shadows. This character is ""Home Hero"", the superhero for the ""Staying Safe at Home"" safety lesson (power: ""Check-First Sense"" -- Always checks first before opening the door.). Primary costume color: warm alert red (#c0392b), used for the cape/bodysuit main color, with a white or cream secondary accent color for gloves/boots/trim. Chest emblem: a simple triangle-roofed house, in white or a light contrasting color, centered on the chest. Pose: standing in a friendly, confident superhero pose, hands on hips."
bike-safety,Bicycle Safety,Pedal Patrol,Helmet Force,#1f9d6b,hero-bike-safety.png,"Flat, clean vector-illustration style children's superhero mascot character (think modern kids'-educational-app mascot, NOT photorealistic, NOT a comic-book/manga style, NOT scary or intense). Simple bold shapes, thick clean outlines (2-3px even weight), soft rounded corners, minimal fine detail so it stays clear as a small icon. Big simple friendly eyes, warm gentle smile, no aggressive or intense facial expressions. A simple cape and a form-fitting superhero costume/bodysuit (no exposed muscles, no weapons, nothing frightening). Character is a friendly, ambiguous-age kid-appropriate superhero (not obviously adult or child, not gendered-specific unless noted). Plain solid-color or transparent background, no scenery, no text, no logos, no watermarks. Square 1:1 composition, character centered and fully visible with a little padding around the edges. Bright, clean, cheerful lighting -- no harsh shadows. This character is ""Pedal Patrol"", the superhero for the ""Bicycle Safety"" safety lesson (power: ""Helmet Force"" -- Never rides without a helmet on.). Primary costume color: friendly grass green (#1f9d6b), used for the cape/bodysuit main color, with a white or cream secondary accent color for gloves/boots/trim. Chest emblem: a bicycle wheel with spokes, in white or a light contrasting color, centered on the chest. Pose: standing in a friendly, confident superhero pose, hands on hips."
peer-pressure-safety,Handling Peer Pressure,Willpower,Strong No,#c9770a,hero-peer-pressure-safety.png,"Flat, clean vector-illustration style children's superhero mascot character (think modern kids'-educational-app mascot, NOT photorealistic, NOT a comic-book/manga style, NOT scary or intense). Simple bold shapes, thick clean outlines (2-3px even weight), soft rounded corners, minimal fine detail so it stays clear as a small icon. Big simple friendly eyes, warm gentle smile, no aggressive or intense facial expressions. A simple cape and a form-fitting superhero costume/bodysuit (no exposed muscles, no weapons, nothing frightening). Character is a friendly, ambiguous-age kid-appropriate superhero (not obviously adult or child, not gendered-specific unless noted). Plain solid-color or transparent background, no scenery, no text, no logos, no watermarks. Square 1:1 composition, character centered and fully visible with a little padding around the edges. Bright, clean, cheerful lighting -- no harsh shadows. This character is ""Willpower"", the superhero for the ""Handling Peer Pressure"" safety lesson (power: ""Strong No"" -- Says a strong ""no"" and means it.). Primary costume color: warm golden amber (#c9770a), used for the cape/bodysuit main color, with a white or cream secondary accent color for gloves/boots/trim. Chest emblem: a five-pointed star, in white or a light contrasting color, centered on the chest. Pose: standing in a friendly, confident superhero pose, hands on hips."
elopement-safety,Staying With My Safe Adult,Steady Anchor,Stay-Put Strength,#1f9d6b,hero-elopement-safety.png,"Flat, clean vector-illustration style children's superhero mascot character (think modern kids'-educational-app mascot, NOT photorealistic, NOT a comic-book/manga style, NOT scary or intense). Simple bold shapes, thick clean outlines (2-3px even weight), soft rounded corners, minimal fine detail so it stays clear as a small icon. Big simple friendly eyes, warm gentle smile, no aggressive or intense facial expressions. A simple cape and a form-fitting superhero costume/bodysuit (no exposed muscles, no weapons, nothing frightening). Character is a friendly, ambiguous-age kid-appropriate superhero (not obviously adult or child, not gendered-specific unless noted). Plain solid-color or transparent background, no scenery, no text, no logos, no watermarks. Square 1:1 composition, character centered and fully visible with a little padding around the edges. Bright, clean, cheerful lighting -- no harsh shadows. This character is ""Steady Anchor"", the superhero for the ""Staying With My Safe Adult"" safety lesson (power: ""Stay-Put Strength"" -- Always stays with the group and finds a helper instead of wandering off.). Primary costume color: friendly grass green (#1f9d6b), used for the cape/bodysuit main color, with a white or cream secondary accent color for gloves/boots/trim. Chest emblem: a simple ship anchor, in white or a light contrasting color, centered on the chest. Pose: standing in a friendly, confident superhero pose, hands on hips."
